Verb,Total annotations,Original correct,Processed correct,drop in percentage,Original percentage,Processed percentage,Worker chatgpt,Worker claude,Worker deepseek,Worker perplexity,KLDivergence
ski-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.291502582785941
grill-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.2490715851406442
row-01,40,20,17,0.15,1.0,0.85,10 / 10,10 / 10,10 / 10,10 / 10,1.1006105531269337
drink-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.7465027983024439
present-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.7343127668494341
sing-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.6117665478124628
swing-01,40,17,16,0.058823529411764705,0.85,0.8,10 / 10,10 / 10,10 / 10,10 / 10,0.5468283628824745
pass-by-17,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.4475781848766111
sell-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.4025859283093883
sleep-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3675289872885302
catch-01,40,15,9,0.4,0.75,0.45,10 / 10,10 / 10,10 / 10,10 / 10,0.357263073635968
examine-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3534159717500019
lie-07,40,20,14,0.3,1.0,0.7,10 / 10,10 / 10,10 / 10,10 / 10,0.3357568074664959
race-02,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.3070605837431263
practice-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3031872740822552
speak-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.293925732838351
drive-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.2780281036272092
wait-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.2439586596005655
run-02,40,14,16,-0.14285714285714285,0.7,0.8,10 / 10,10 / 10,10 / 10,10 / 10,0.233144345927466
jump-03,40,18,19,-0.05555555555555555,0.9,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.1541386236091168
play-01,40,13,17,-0.3076923076923077,0.65,0.85,10 / 10,10 / 10,10 / 10,10 / 10,0.1401650958812
use-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.134190473636588
lean-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.1159706878143049
enjoy-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.0944803992516977
kneel-01,32,15,5,0.6666666666666666,0.75,0.25,8 / 10,8 / 10,8 / 10,8 / 10,0.0855765508796488
contrast-01,40,15,14,0.06666666666666667,0.75,0.7,10 / 10,10 / 10,10 / 10,10 / 10,0.0432238844132744
sit-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.0409340218732662
